rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,soil_moisture_pct,elevation_m,slope_deg,vegetation_index,drainage_density,distance_to_river_km,antecedent_rainfall_mm,risk_class
38.8,29.3,80.1,1020.2,12.7,35.3,19,9.2,0.752,3.83,10.3,4.6,Low
38.2,4.4,86.5,1023.5,10.5,42.3,582,22.5,0.562,4.7,0.1,47.1,Medium
67.2,27.5,73.9,1006.4,12.7,43.2,0,19.6,0.45,2.75,4.9,61.2,Medium
36.5,34.3,91.1,1001.5,9,73.9,353,1.6,0.38,0.9,13.16,101.8,Medium
89.8,31.6,76.9,1008.9,9,40.3,108,38.1,0.383,2.13,5.18,28.6,Medium
0,33.4,63,1001.3,4.9,20,1100,4.4,0.765,3.61,1.68,86.7,Low
116.8,18,57.7,1014.8,9.1,64.6,582,0,0.567,6.34,5.63,170.1,Medium
57.2,31.9,70.2,1002.2,3.3,33.3,227,37,0.418,1.53,5.92,195.8,High
14.8,15.6,95.3,1001.5,10.2,90.2,495,19.9,0.476,2.84,12.72,126.4,High
37.8,30.6,74.4,1004.4,12.2,59.7,351,36.4,0.811,2.12,9.18,96.9,Medium
77.9,20,65.9,999.4,9.7,45.3,678,21.2,0.73,1.17,4.63,82.7,Medium
40.2,32.6,72.5,993.6,0,5,424,22.6,0.331,2.88,6.91,80.8,Medium
0,10.7,63.8,1041,0,57.6,22,41.6,0.887,4.74,6.82,94.7,Low
49.1,31.6,49,1000.9,9.3,16.3,694,6.9,0.461,4.42,5.77,0,Low
31.5,27.3,62.9,1013.9,9.5,35.4,395,5.4,0.204,0.79,1.57,133.2,Medium
55.7,25.3,75.2,1028.4,21.7,55.7,599,28.3,0.363,0,3.65,79.8,Medium
29,24.8,54.3,1001.1,5.6,61.4,260,0,0.669,3.8,8.53,137.3,Medium
49,36.7,51.2,1006.6,8,53,39,0,0.362,5.57,7.8,174,Medium
45.3,25,61.4,1015.4,4.6,62.6,0,0,0.205,3.09,5.32,211.6,Medium
62.8,28.4,78.1,1016,14.1,34.2,54,32,0.537,2.17,8.75,135.1,Medium
74.5,23.3,35.2,995.4,0,31.5,0,16.8,0.661,3.32,16.64,25.1,Medium
25.5,33.9,60.8,1014.1,0,74.8,575,13.7,0.674,5.78,4.57,133.8,Medium
15,35.6,86.1,1022.4,8.1,75.3,983,2.4,0.624,1.96,7.92,133.5,Medium
82.5,35.9,59,1019.9,9.2,38.6,319,10.7,0.587,1.12,6.77,0,Low
20.8,20.8,70.9,999.7,7.6,29.5,369,5,0.63,2.01,14.61,159.6,Medium
72.8,23.5,77,990.5,11.9,31.5,850,18.9,0.78,4.81,7.09,142.9,Medium
11.7,27.6,74.4,1011.9,0,64.1,202,4,0.461,1.07,2.69,44.5,Low
76.4,27,71.9,1019,2.4,53.8,290,7.5,0.54,1.84,5.92,6.8,Medium
9.6,23.1,51.2,1002.2,18.3,62.2,430,36.8,0.91,4.63,4.51,38.5,Medium
14.4,31.4,57.2,1004.2,10.8,28.6,129,7.7,0.56,3.74,4.66,94.9,Low
66.2,26,71.3,1012.1,9.4,48.4,565,0,0.384,5.55,6.61,70,Medium
15.4,22.5,70.7,1019.7,5.8,74.4,490,0,0.35,3.56,14.74,67.1,Medium
67.9,45.5,70.8,999.6,2.9,22.6,422,10.3,0.21,0.42,7.52,30.9,Low
40.7,37,67.2,1013.7,2.5,75.3,266,8.4,0.736,1.99,11.41,0,Low
65.8,33.5,43.3,1009.5,11.9,5,477,20.9,0.586,3.47,1.71,152.3,Medium
75.8,32.8,36.9,998.9,2.7,56.4,277,44.9,0.209,2.79,7.31,76.8,Medium
91.1,36.5,69.6,1016.2,11.4,21.1,721,2.4,0.408,4.23,3.31,77.9,Low
40.2,28.4,53.3,1015.7,5.9,49.3,704,24.9,0.23,4.02,0.81,0,Medium
104,50.5,60,1007.6,8.5,37.6,353,23.9,0.37,2.35,6.59,33.5,Low
18.1,40.2,56.4,1013.7,5.5,71.2,471,31.1,0.486,4.34,6.83,0,Medium
55.3,32.1,100,1013.8,0,75,1004,21.5,0.997,2.1,5.94,121.6,High
89.7,42.8,65,1005.9,14.6,75.4,1168,4.1,0.17,4.45,7.3,55.9,Medium
73.1,27,61.8,1010.1,3.6,45.8,0,0,0.674,1.51,3.37,15.4,Low
0,28.9,63.2,1001.5,4.5,41.4,760,0,0.176,4.99,2.02,5.5,Low
18.9,27.4,80.5,1022.3,0,36,1048,13.7,0.557,3.47,4,57.3,Low
50.9,25.7,59,1012,7.5,46,672,21.7,0.18,3.57,4.63,87,Low
68.4,29.5,53.2,1008.8,8.6,56.9,214,6.6,0.517,2.37,0.1,74.5,Medium
26.3,36.3,40.4,1012.1,1.8,53.6,324,12.5,0.161,6.77,8.8,84,Low
47.1,31.6,93.5,1022.9,7.5,33.1,234,31.2,0.569,0.29,7.38,111.2,Medium
22.6,29.9,70.2,989.6,7.6,90.8,56,30.2,0.619,4.52,4.72,59.7,Medium
79.3,11.8,88.3,1001.8,0,37.6,194,5,0.615,3.27,6.17,120,Medium
36.3,22.6,61.9,995.3,8.6,61.2,537,0,0.712,4.3,0.1,46.3,Low
35.4,32.7,77.5,1004.6,4.4,48.4,540,17.1,0.623,3.15,7.91,79.2,Medium
15.3,25.4,50.1,1007.2,2.4,74,382,15.4,0.65,3.39,8.36,38.3,Low
58.3,40.1,94.6,987.3,13.4,50.5,174,16.3,0.257,3.08,3.62,7.2,Medium
40.2,16,45.8,1005.4,4.9,50.8,279,0.8,0.288,3.39,1.09,63.3,Medium
0,27.4,68.6,1015.1,12.9,54.5,649,27.4,0.499,2.06,2.61,211.5,Medium
28,38.5,67.3,996,8.1,33.5,85,26.3,0.53,2.8,2.19,0,Low
3.7,14.1,100,1010.6,10.6,73.4,175,4.9,0.462,1.4,6.84,26,Medium
28,22.5,77.7,1005.1,10.4,60.9,411,2.4,0.394,2.06,8.95,122.2,Medium
0,42.7,77,1015.8,2.8,21.4,847,9.9,0.79,3.42,4.27,98.5,Low
73.1,33.1,50,1001.9,8.6,54.1,711,19.6,0.558,2.7,0.34,183.5,Medium
0,24.7,40.6,1000.3,5.1,72.8,0,35.8,0.643,3.88,5.58,136.5,Medium
26.3,26.4,79.5,1004.6,7.9,52.1,447,8.6,0.727,3.54,6.34,49.1,Low
84,32.1,58.2,1019.8,16.6,51.7,210,15.6,0.705,3.94,9.05,167.1,Medium
34.2,22.7,83.4,1019.1,9.3,41.5,153,0.7,0.538,1.5,9.97,104.2,Low
32.2,21.2,95.2,1007.3,7,39.9,127,18.8,0.741,6.16,3.75,137.1,Medium
0,26.1,100,1020.3,6.1,40.6,515,11.1,0.29,3.01,10.84,52.1,Low
20.5,33.5,67.6,1000.1,3.2,13.7,411,18.5,0.469,0.99,11.87,42.6,Low
85.6,21.5,62.9,1013.4,6,67.5,540,34.2,0.414,0.48,2.59,80.8,Medium
98.1,37.5,82.6,1014.9,21.5,23.3,339,30.7,0.564,2.53,11.21,28.9,Medium
49.6,27.9,57.8,1005.4,9.4,26.7,596,32.7,0.537,3.25,9.92,138.3,Medium
3.6,25.7,64.4,1025.6,10.6,57.8,360,9.9,0.692,5.77,10.82,46.1,Low
91.6,46.4,76,994.9,7.8,52.6,0,9.1,0.549,3.52,0.68,2.2,Medium
6.7,17.9,20,992.7,6.5,56,199,0,0.338,3.3,1.77,84.6,Low
88.1,36.8,38.3,1006.5,7.8,48,596,9.2,0.22,0,2.1,90.8,Medium
20.6,35.1,49.8,1015.9,11.7,71.2,0,10.8,0.211,3.8,8.48,0,Low
22.4,23.6,54.4,1025.2,14.4,41.9,712,29.4,0.684,2.5,8.64,113.8,Low
74.3,24.3,49.6,1021.9,14.8,78.3,439,31.4,0.212,3.42,3.39,104.9,Medium
60.6,28.7,60.9,1028.7,7.6,71.4,374,2.1,0.422,5.35,3.25,179,Medium
33.6,18.3,79.5,1019.8,8.1,45.6,712,17.6,0.461,4.29,0.94,199.8,Medium
1.5,39.6,53.5,1024.2,3.3,52.2,470,7.4,0.352,4.35,7.97,133.4,Low
86.9,14.4,68.2,1012.7,6,61.2,243,1.3,0.205,2.55,16.02,197.9,Medium
96.5,14.2,87.2,1013.5,4.3,65.8,556,17.3,0.907,4.11,9.23,13.8,Medium
32.6,36.7,63,997.3,6,25.1,531,13.1,0.455,4.08,9.48,42.6,Low
0,19.8,60.5,1020.4,10.1,35.1,418,0,0.629,1.54,7.25,153.1,Low
72.1,15.7,82.3,1012.7,8.8,42.3,358,7.9,0.62,5.86,7.28,71.3,Medium
19.6,26.8,64.8,1000.3,3.8,37.4,310,25.3,0.283,2.03,5.26,64.5,Medium
27.9,16.9,62.5,1024.9,15.7,29,413,14.7,0.567,2.56,10.97,122.9,Low
0,21.6,55.1,1018,13.5,38.1,787,10.5,0.475,3.18,2.9,29,Low
0,29.2,99.5,1010.4,8.3,44.6,0,26,0.646,3.03,3.09,120.7,Medium
28.4,22.3,67.1,1015.4,6.1,18.1,319,17.2,0.738,0.62,5.66,85.5,Low
66.5,37.8,99.1,1018.6,11.9,15.7,320,44.2,0.557,3.59,2.64,56.4,Medium
76.1,11.6,74.8,1011.7,0.9,52.6,458,29,0.645,0.62,3.65,0,Medium
65,20.7,85.9,1009.1,7.5,54.9,252,37.7,0.356,5.43,9.63,14.6,Medium
44.6,21.9,64.1,1012.5,4.6,52.3,209,26.9,0.616,3.98,8.82,150.6,Medium
100.2,11.9,83.5,1014.9,3.3,49.4,984,1,0.513,0.08,7.59,139.7,Medium
39.2,20.8,67,1041.8,7.4,42,370,5.3,0.619,3.88,3.88,10,Low
32.5,15.8,52.3,1008,11.1,37.2,228,15,0.475,2.3,0.54,190.3,Medium
28.7,12.5,60.5,1005,2.6,52,384,1.3,0.358,2.01,5.62,0,Low
35.8,13.8,90.5,984.6,7.1,56.6,135,8.1,0.487,3.31,1.44,130.5,High
15.1,25.1,31.2,1017.7,6.9,31.9,505,0.3,0.098,4.22,9.36,179.2,Low
54.3,38.4,63.4,999.4,15.6,30.3,40,19,0.72,2.78,5.89,141.2,Medium
67.3,27.2,71,1024.1,5.5,54.5,343,0,0.555,0.35,2.53,50.8,Medium
30.7,23.1,89.9,1012.4,5.6,70.5,502,21.5,0.433,5.51,9.36,116.4,Medium
62.7,26.6,62,989.9,2.8,18.1,446,14.9,0.589,3.41,7.16,114.2,Medium
0,19.5,73.1,1009.1,6.2,58.7,231,7.3,0.475,4.04,0.54,30.9,Low
52.1,21.4,61.5,1011.8,8.2,61,379,17.1,0.328,2.43,4.54,113.6,Medium
41.4,25.6,64.3,1020.8,11.3,53.1,495,20.7,0.557,3.6,8.9,162.9,Medium
64.3,42,91.7,997.7,10.6,69.5,271,17.4,0.399,1.07,0.1,63.5,High
72.7,36.8,69,1003.5,5,81.2,295,41.7,0.396,3.92,2.77,73.9,Medium
0,34.3,71.3,1020.6,6.6,52,13,6.3,0.478,4.17,13.3,73.1,Low
42.8,35.4,66.4,1021.4,1.7,91.3,386,6.5,0.281,4.62,3.19,85.3,Medium
88.3,28,53.1,1014.9,5.7,74.6,21,33.1,0.481,3.5,8.87,92.1,Medium
33.7,20.7,66.1,996.3,6.6,56.4,576,2,0.407,1.36,12.94,93.4,Low
62.1,33,68,1002.8,11.5,48.6,571,18.9,0.325,4.21,0.1,0,Medium
93.4,23.2,51.5,1008.3,6.5,35.3,55,0,0.525,3.63,4.12,95.3,Low
105.2,17.3,44.2,1012.8,10.6,73.8,778,14.9,0.667,3.07,10.39,0,Medium
0,25.3,41.7,1004.3,4.2,46.6,222,12.6,0.84,4.17,9.47,0,Low
73.3,28.2,42.1,1009.4,5.5,64.3,0,17.2,0.538,2.53,0.1,31.7,Medium
52.6,28.8,71.3,1022.3,19.5,64,489,21.4,0.429,4.18,5.2,37.1,Medium
0,36.4,60.7,1006.2,4.7,76.4,377,8.1,0.748,3.77,0.1,76.5,Low
71.1,27.8,61.2,1012,7.2,55.9,810,17.5,0.527,3.06,0.5,178.9,Medium
0,28.2,71.7,1005.2,14.4,45.2,423,22.2,0.59,2.53,6.72,211.6,Low
90.5,29.3,67.4,1006.5,11.4,31.2,318,18.8,0.581,3.56,3.14,172.7,Medium
29.2,32.9,28.5,1006.8,12,55,341,26.9,0.699,1.17,6.06,72.7,Medium
30.1,30.6,48.1,1026.8,1.8,28.8,155,18.7,0.334,3.48,2.43,158.3,Low
33.3,31.2,70,994,11.9,34.7,612,39.7,0.384,4.03,0.1,161.5,Medium
49.5,29.7,78.8,1016.4,6.6,34.7,800,16.6,0.235,5.32,0.1,61.7,Medium
11.5,25.9,68.7,1012.8,3.6,46,517,4.2,0.408,3.63,6.78,0,Low
32.2,29.2,51.7,1012.9,12.9,89.2,271,24,0.385,2.55,4.23,78.6,Medium
77.6,36.3,75.2,1024.1,10.2,74.3,431,13.1,0.407,3.76,13.18,60.8,Medium
2.4,32,84.4,994.6,12.6,30.2,373,0,0.543,0.47,1.98,66.9,Low
15.2,25.7,74.2,1004.9,7,64.2,518,27.4,0.63,5.23,7.19,80.9,Medium
30.2,28.6,82,1011.5,12,59.5,657,11.8,0.368,2.1,0.1,87,Medium
50.2,16.5,73.7,993,15.1,25.1,286,12,0.613,3.31,0.63,69.2,Medium
60.3,33.5,60.8,1010.5,13.1,66.3,133,0,0.377,4.9,2.04,174.4,Medium
59.9,29.8,85.9,1006.1,9.8,30.4,274,31.6,0.854,5.21,9.57,229.7,High
70.3,33.9,77.4,1021.5,5.4,72,249,6.2,0.735,3.04,4.98,81,Medium
37,43,54.6,995.8,1.3,40.1,35,42,0.593,1.01,4.02,72.3,Medium
22,26.4,75.9,1017,10.9,65.6,911,0,0.525,0.72,2.15,17.9,Low
52.8,30.7,71.4,1022,5.6,47.1,1009,21.9,0.156,2.95,0.24,89.3,Medium
0,26.8,42.8,1019.2,13.6,52.5,476,12.6,0.405,1.9,0.35,165.1,Low
17.6,14,100,1011.9,4.9,93.6,736,2.1,0.594,1.63,0.1,129,Medium
61,37.2,64.3,1002.5,4.4,68.6,353,16.2,0.484,5.94,0.56,48.2,Medium
12,19.2,50.7,1016.1,10.3,55.6,170,0,0.324,0.12,5.27,45.3,Low
44.1,21,61.4,1020.4,1.7,47.5,925,16.8,0.694,4.01,9.34,0,Low
75.7,31.6,69.4,1023.1,11.6,59.1,687,40.3,0.396,3.29,2.43,93.4,Medium
11.9,29.8,90.4,1008.7,0,30.5,508,24.7,0.182,5.46,1.29,114.4,Medium
78.8,10.7,52.2,1012.5,5.7,67.5,659,11,0.549,1.41,2.28,172.9,Medium
32.8,25.3,65.2,1001.2,15.2,43.1,0,30.1,0.158,1.54,14.71,7.3,Medium
35.2,29.4,71.6,1018.5,16.3,20.2,13,26.1,0.279,6.57,9.34,120.4,Medium
106.9,27,53.4,1007.2,12.5,79.2,410,0,0.61,2.48,6.57,90.7,Medium
113.3,47.8,39.2,1022,0,40.3,104,47.5,0.536,2.69,9.86,177.4,Medium
117.9,44.5,96.8,1018.8,9.3,36.7,199,0,0.64,2.93,8.73,0,Medium
9.5,17.1,54.9,1008.2,3.4,63.8,847,7.9,0.3,1.75,1.98,58.1,Low
31.6,39.5,66.7,1021.1,4.1,48.6,694,18.5,0.655,2.87,0.98,15.8,Low
0,20.9,69.6,1013.8,2.4,45.3,0,17.5,0.591,3.86,8.26,55.7,Low
42.6,31.7,81.8,1012.7,2.1,44.9,770,19.9,0.126,2.34,0.1,54.6,Medium
98.5,33.6,96.8,1001.2,4.3,45.7,359,0,0.388,3.58,2.03,133.3,High
18.7,18.2,56.4,1007.1,9.6,67.4,516,14.7,0.287,3.49,6.65,77.7,Low
25.1,28,65.6,1013.8,4.5,58.1,151,13.6,0.596,2.94,8.36,71.9,Low
0,33.2,69.1,1003.9,15.2,30.1,515,4.5,0.496,2.28,3.53,14.2,Low
0,17.5,65.8,1015.6,6.4,38.1,110,14.8,0.391,4.73,0.1,94.1,Low
71.7,17.4,36.1,995.4,11.2,54.1,33,24.3,0.609,6.04,0.1,8.2,Medium
2.6,22.3,86.7,1023.6,1.4,53.5,121,27.6,0.562,2.83,6.41,94.3,Medium
35.7,29.3,64,999.7,5.4,50.9,515,12,0.551,4.33,3.68,0,Low
55.6,20.2,41.8,1029.1,10.2,34,272,9.5,0.384,3.61,1.82,77.9,Medium
81.3,30.6,64.5,1019.3,17,24.1,640,17.2,0.519,0.29,0.99,16.2,Medium
37.7,31.6,61.2,1014.9,0.2,62.5,310,0,0.821,2.58,8.71,86.7,Low
115,36,73.2,1005.9,9.3,86.4,147,8.2,0.504,4.33,6.88,95.7,Medium
57.2,31,77.5,1018.1,15.5,43.6,1224,2.5,0.265,3.77,1.65,119.7,Medium
0,18.3,67.4,1019,18.9,51.7,260,5.8,0.421,3.34,0.45,38.1,Low
22.3,17.1,70.4,1001.7,3.5,39.5,424,33.7,0.46,3.54,1.57,141.3,Medium
0,47.3,61.1,998.5,1.4,56.9,616,3.5,0.075,2.3,10.9,64,Low
49.4,37.1,77.1,1018.3,9.7,62.6,0,14.3,0.415,4.56,11.74,158.5,Medium
0,28.6,67,1012.7,21.4,60.3,0,35.3,0.668,3.39,6.62,71.7,Low
96.6,26.7,62.8,989.3,16.8,54.2,513,15.7,0.667,0,8.39,172.8,High
82.6,38.7,68.8,1017.2,15.1,21.4,291,0,0.426,4.8,8.42,0,Low
50.2,31.5,75.9,1032.7,3.2,84,458,15.7,0.398,0.5,0.1,0,Medium
11,30.5,39.6,997.4,1.7,62.6,90,43.5,0.485,2.91,7.27,86.6,Medium
33,31.9,73.8,1004.3,5.8,26,514,13.5,0.544,3.07,6.13,44.9,Low
78.1,32.9,66.9,997.7,17.8,76.9,285,49,0.503,4.57,7.37,73.7,Medium
21.9,22.2,64.6,1003.1,11.1,5,404,29.4,0.257,2.87,6.22,76,Medium
121.8,29,61.1,1008.4,15.7,58.1,710,9.8,0.634,1.99,11.38,101,Medium
34.3,30.1,66,998.6,6.5,57,0,1.5,0.511,5.18,0.1,135.2,Medium
89.5,31.8,59.5,992.5,9.9,55.7,690,2.7,0.43,4.04,5.4,106.1,Medium
31.3,32,50.6,1007,4.1,53.7,298,31.4,0.644,1.42,9.17,67.3,Medium
107.8,25.8,88.1,1021.6,5.4,42.4,0,10.1,0.232,5.49,0.1,107.3,Medium
72.3,15.7,66.9,1004.2,13,51,520,7.9,0.227,2.32,4.79,79,Medium
44.5,32,95.3,1016.3,10.9,61.8,683,19.1,0.307,3.3,2.39,35.3,Medium
60.3,22.7,59.6,1001.8,7.3,75,940,1.7,0.542,3.34,5.93,61.3,Medium
93.3,19.1,84.6,1016.3,13.6,66.2,693,8.3,0.205,4.24,6.59,68.1,Medium
64.7,34,62.3,1014.1,15.3,24,810,11.4,0.336,1.53,5,54.4,Low
67.6,18.8,86.7,1002.7,0,57.5,941,11.7,0.403,4.27,0.43,131.5,High
52.8,30.8,80.4,1015,0,69.2,320,4,0.833,1.52,4.18,165.1,Medium
69.7,14.9,30.1,1013.4,20.2,52,111,31.6,0.369,0,7.5,91.6,Medium
0,24.4,74.2,1006.3,5.6,56.8,529,20.3,0.719,4.52,6.09,71.2,Medium
58.2,14.1,70.8,1010.3,6.6,54.7,479,3.3,0.378,0,13.04,51.7,Medium
58.1,27.4,39.5,1008.9,13.5,42.1,0,17.8,0.252,2.47,10.47,129.9,Medium
1.9,27.2,82.6,1010,7.5,24.7,562,12.9,0.35,4.38,4.72,114.1,Low
73.7,25.8,70.2,1016.2,13.5,23.1,495,4.5,0.499,2.51,6.28,11.2,Low
45.4,30.9,61.3,1000.6,18.6,17.4,619,26.9,0.702,5.06,1.78,77.9,Medium
60.3,29.9,74.2,1018.3,16.6,35.3,270,38.2,0.634,2.02,3.13,0,Medium
38.2,26.9,58.6,1010.2,13.2,50.5,284,3.9,0.284,4.07,0.69,133.7,Medium
125,34.4,90.1,1011.3,8.2,32.9,411,17,0.568,3.3,7.92,19.3,Medium
24.7,23.4,63.4,1019.6,2.9,100,437,9.9,0.112,2.74,9.26,93.9,Low
65.9,34.2,57.7,1030.4,1.3,17.9,844,19.1,0.339,4.45,7.27,50,Low
0,15.8,70,1017.2,8.9,46.2,628,7,0.345,2.61,2.68,154.1,Low
0,25.4,64.3,1008.9,7.2,69.6,400,7.7,0.469,4.43,10.44,38.1,Low
44.2,23.3,73.4,1025.9,11.7,20.3,136,15.7,0.548,4.99,3.25,29,Low
51.7,39.4,68.1,1011.5,14.7,82.6,631,39.8,0.8,3.8,1.96,120.4,High
27.3,24.3,80.8,988.8,10.3,84.5,540,24.7,0.629,3.79,0.79,0,Medium
46.1,38.4,65.5,1007.8,8.7,60.8,299,6.9,0.439,3.42,8.87,102.2,Low
40.2,32.6,57.4,1014.4,13.2,10.8,645,25.8,0.466,3.3,0.1,130.6,Medium
11.5,23.4,53.9,1023,0,68.9,481,20.7,0.5,0.21,8.35,52.6,Low
96.9,9.9,55.3,1003.9,5.5,43.9,356,15.4,0.357,1.39,0.1,92.5,Medium
25,40.7,64,992.8,4.9,32.6,0,0,0.548,2.24,5.1,73,Low
59.5,34.4,72,1003.1,9.9,31.6,0,8.6,0.375,3.76,3.53,81.1,Medium
68.5,25.1,65.6,1019.2,6.1,64.5,278,25.9,0.415,5.84,8.97,86.7,Medium
36.2,34,58,998.2,15.6,60.7,525,25.4,0.45,2.5,9.62,160.2,Medium
0,0.1,58.3,1006.7,3.1,51.4,196,0,0.781,2.94,1.62,62.8,Low
73.8,20,79.7,1024.8,2.8,44.2,318,1.7,0.383,4.37,6.98,113.9,Low
0,19.2,91.7,999.4,0,40.1,331,52.6,0.529,0.99,3.19,68.7,Medium
22.9,27.9,95.3,1000.2,6.5,15.8,1327,19.4,0.286,4.08,4.95,98.6,Medium
53.1,26.1,67.2,1025.1,15.9,54,15,9,0.67,3.34,7.86,35.5,Low
91.4,21.9,90.9,1007.4,2.4,39.6,339,16,0.51,2.11,0.1,50.3,Medium
54.7,16.4,60.3,1004.5,11.1,43.6,503,0,0.241,1.74,8.21,189.2,Medium
0,23.7,48.3,1010.7,9.4,63.9,1164,3.2,0.306,2.81,10.15,106.1,Low
30.6,33,100,1011.1,14.6,35.5,582,9.6,0.754,2.32,1.81,156.5,Medium
0,39.3,55.1,1012,6.4,37.5,577,20.8,0.476,3.8,7.15,109.4,Low
36.6,30.4,100,1023.1,8,70.6,0,0,0.539,3.25,0.1,73.4,Medium
97.5,35.8,80.5,1011.8,3.5,54,635,0,0.274,3.16,7.29,79.3,Medium
32.3,33.5,47.1,1011.8,7.5,47.6,554,30.2,0.328,2.26,6.86,67.3,Low
109.5,24.3,71.8,1018.9,6.8,58.1,499,15.8,0.651,2.86,10.79,117.9,Medium
63.7,37.8,47.9,1007,8.4,53.5,795,24.8,0.566,3.56,8.84,15.1,Medium
37.4,22.9,42.7,1019.4,8,67.2,667,20.7,0.558,2.28,0.19,121.5,Medium
0,46.7,83.2,1008.7,5.9,72,621,33.7,0.163,5.72,0.1,49.3,Medium
124.4,15.6,77.3,1012.6,3.4,53.6,0,5.2,0.681,1.51,7.22,107.2,Medium
64.4,12.7,65.5,1005,8.2,52.6,403,0,0.414,2.01,5.96,28.9,Low
0,36.8,94.1,1005.4,13,45.3,221,3.6,0.075,5.93,0.3,26.6,Low
11.8,35.4,70.7,1010.2,12.9,42.8,687,13.5,0.6,1.03,0.1,101.6,Low
45.6,18.4,78.9,1004.9,4.9,31,402,9.1,0.349,2.01,10.39,64.9,Medium
54,31.2,76,1000.1,6.4,50.6,381,12.7,0.207,3.6,4.78,0,Medium
98.7,30.7,64.7,997.9,10.8,47.9,269,32,0.658,5.94,2.35,60.1,Medium
17.4,22.8,61.2,1013.5,8.8,50.5,512,21.3,0,2.83,8.15,123.4,Medium
76.4,32,97.3,1004.3,2.6,80.2,605,3.6,0.704,4.24,5.22,21.8,Medium
66.6,26.3,30.8,1002.8,7.4,26.5,526,29.5,0.575,4.32,8.96,139.4,Medium
10.2,16.7,82.6,1001.6,5,52.2,593,0.9,0.573,4.82,0.1,135.9,Medium
69.1,14.8,74.3,1008,9,32.7,227,12.9,0.499,3.05,0.1,93.2,Medium
65.4,33.5,86.9,1007.5,8,23.1,0,18.8,0.357,0.83,3.76,92,Medium
21.8,25.8,83.3,1022.6,7.2,12.3,452,0,0.589,2.18,1.43,93.1,Medium
40.4,30.3,70,1011.2,13.7,37.6,393,2.7,0.335,2.22,7.64,169.8,Low
82.7,15.6,54.4,1009.9,7,53.7,625,18.6,0.927,1.4,7.21,112.7,Medium
70.3,18.4,81.9,1007.6,8.5,43.2,36,18.4,0.565,2.87,2.94,62.5,Medium
33.6,17.6,54.4,1007.3,2.7,43.5,108,25.7,0.295,1.51,5.19,0,Low
34.8,31,78.5,1010.7,1,57.5,334,0,0.616,1.42,1.96,46.5,Low
62.1,37.2,80.9,1020.4,7.1,59.8,284,16.1,0.802,0.85,1.87,49.5,Medium
48.2,29.9,66.4,1000.8,12.9,23.4,833,24.8,0.603,5.32,8.82,55.4,Low
0,15.5,69.5,1014.1,7.7,62.1,465,41.3,0.547,5.12,10.8,118.5,Medium
100.7,22.3,58.1,1010.3,9.5,54.8,645,20.2,0.478,1.82,0.1,18.4,Medium
82.8,37.8,67.2,1002.2,12.2,49.8,178,8,0.384,4,3.95,5.5,Low
0,20.6,58.7,1013,10.9,63.8,0,10.8,0.543,2.01,7.73,169.5,Low
0,30.3,80.5,992.8,15.9,46.9,325,0,0.478,4.8,0.18,150.1,Medium
54.7,23.6,81.2,1007.8,11.6,35.1,474,32.2,0.747,2.64,10.42,4,Medium
39.4,36,52.3,1011.2,7.7,55.8,215,4.9,0.405,3.5,2.77,83.7,Low
77.6,27.9,28.8,1014.2,21.4,81.5,107,5.2,0.914,4.59,4.17,0.2,Medium
96.3,29.2,38.4,1011.1,15.4,46.4,975,12.2,0.726,2.56,9.79,104.2,Low
47.3,35.9,73.7,1015.6,8,5,0,12.3,0.401,2.95,3.92,68.9,Low
37.3,33.3,87.5,1011.7,8,32.3,364,9.4,0.487,1.9,7.54,115,Medium
50.7,33.9,48.2,996.5,0.5,41.8,446,8.4,0.669,1.36,3.61,85.8,Low
45.5,32.2,95.7,994.3,0,26.4,352,0,0.495,2.73,9.47,88.1,Medium
37.1,27,72.1,1003.1,11.9,78.6,0,3.8,0.523,3.35,8.68,155.7,Medium
100.8,17.2,81,1005.5,2.4,54.2,177,12.1,0.229,1.55,1.36,160.2,High
62.1,33.1,49.3,1010.8,14.7,44.3,53,2.3,0.297,5.11,3.69,48.3,Low
67.6,32.6,64.6,1007.9,4.9,70.7,352,13,0.404,3.01,0.71,51.1,Medium
61.5,22.5,70.9,1000.4,6.3,62.2,735,22.7,0.538,3.15,5.12,55.3,Medium
63.3,31.1,72.9,1001.5,14.5,39.6,843,16.3,0.347,2.22,2.63,90,Medium
63.6,38.2,79.9,1004.2,6.5,40.5,434,23.9,0.221,2.9,4.37,120.5,Medium
68.6,26.8,64.2,1012.3,8.9,66.1,55,11.8,0.309,4.54,9.85,124.1,Medium
112.6,35.5,66.6,1029.8,9,59.5,834,19.1,0.315,2.13,8.64,156.8,Medium
28.6,29.4,57.6,1016.4,4.7,38.5,179,4,0.248,4.11,3.28,107.8,Low
83,28.7,68,1008.8,13.4,65.3,57,1.6,0.725,3.72,9.98,45.8,Medium
115.4,27.3,65.3,985.3,0,47.1,0,8.6,0.437,2.79,0.45,51,Medium
47,13.5,62.9,1021.4,0,26.8,1,23.5,0.658,3.11,0.1,147.4,Medium
0,26.8,69.5,1006.6,1.5,42.2,149,15.5,0.345,1.54,6.1,60.4,Low
16,26.2,82.6,997.3,5.4,65.5,618,6.3,0.422,0.85,7.63,0,Medium
92,37.6,94.1,1015.6,12.3,44.4,268,27.6,0.55,3.51,8.97,125.6,Medium
